CISP,Month,Year,Year month,Attempted murder,Rape,Missing people,Homicides,Thefts,Kidnapping,Area,Crimes
1,11,2013,2013-11-01,0,1,0,1,273,0,Praça Mauá,275
1,12,2013,2013-12-01,1,0,0,0,328,0,Praça Mauá,329
1,1,2014,2014-01-01,0,1,0,0,280,0,Praça Mauá,281
1,2,2014,2014-02-01,2,0,2,0,426,0,Praça Mauá,430
1,3,2014,2014-03-01,0,0,1,0,451,0,Praça Mauá,452
1,4,2014,2014-04-01,0,0,1,1,220,0,Praça Mauá,222
1,5,2014,2014-05-01,0,0,0,2,232,0,Praça Mauá,234
1,6,2014,2014-06-01,0,1,0,0,245,0,Praça Mauá,246
1,7,2014,2014-07-01,0,1,0,0,250,0,Praça Mauá,251
1,8,2014,2014-08-01,0,1,1,0,202,0,Praça Mauá,204
1,9,2014,2014-09-01,0,2,1,0,235,0,Praça Mauá,238
1,10,2014,2014-10-01,0,0,0,0,229,0,Praça Mauá,229
1,11,2014,2014-11-01,0,0,0,0,214,0,Praça Mauá,214
1,12,2014,2014-12-01,1,0,1,0,219,0,Praça Mauá,221
1,1,2015,2015-01-01,1,0,1,0,225,0,Praça Mauá,227
1,2,2015,2015-02-01,2,0,0,0,531,0,Praça Mauá,533
1,3,2015,2015-03-01,1,0,1,0,275,0,Praça Mauá,277
1,4,2015,2015-04-01,0,0,1,0,227,0,Praça Mauá,228
1,5,2015,2015-05-01,0,0,1,0,223,0,Praça Mauá,224
1,6,2015,2015-06-01,0,0,0,1,194,0,Praça Mauá,195
1,7,2015,2015-07-01,2,0,2,0,217,0,Praça Mauá,221
1,8,2015,2015-08-01,0,1,0,0,252,0,Praça Mauá,253
1,9,2015,2015-09-01,0,0,0,0,255,0,Praça Mauá,255
1,10,2015,2015-10-01,0,0,0,0,216,0,Praça Mauá,216
1,11,2015,2015-11-01,2,1,0,0,205,0,Praça Mauá,208
1,12,2015,2015-12-01,2,0,1,1,238,0,Praça Mauá,242
1,1,2016,2016-01-01,0,0,0,0,290,0,Praça Mauá,290
1,2,2016,2016-02-01,1,0,1,0,513,0,Praça Mauá,515
1,3,2016,2016-03-01,0,0,0,0,210,0,Praça Mauá,210
1,4,2016,2016-04-01,0,0,0,0,226,0,Praça Mauá,226
1,5,2016,2016-05-01,0,1,1,0,271,0,Praça Mauá,273
1,6,2016,2016-06-01,1,0,0,1,221,0,Praça Mauá,223
1,7,2016,2016-07-01,0,0,0,1,233,0,Praça Mauá,234
1,8,2016,2016-08-01,1,0,0,1,356,0,Praça Mauá,358
1,9,2016,2016-09-01,0,1,0,0,246,0,Praça Mauá,247
1,10,2016,2016-10-01,0,1,1,0,236,0,Praça Mauá,238
1,11,2016,2016-11-01,1,0,1,1,204,0,Praça Mauá,207
1,12,2016,2016-12-01,0,0,2,1,250,0,Praça Mauá,253
1,1,2017,2017-01-01,8,0,0,0,169,0,Praça Mauá,177
1,2,2017,2017-02-01,4,0,0,0,195,0,Praça Mauá,199
1,3,2017,2017-03-01,0,0,0,2,471,0,Praça Mauá,473
1,4,2017,2017-04-01,1,0,0,0,279,0,Praça Mauá,280
1,5,2017,2017-05-01,0,0,0,1,266,0,Praça Mauá,267
1,6,2017,2017-06-01,0,0,1,0,248,0,Praça Mauá,249
1,7,2017,2017-07-01,0,1,0,1,261,0,Praça Mauá,263
1,8,2017,2017-08-01,0,0,0,0,259,0,Praça Mauá,259
1,9,2017,2017-09-01,0,0,1,1,308,0,Praça Mauá,310
1,10,2017,2017-10-01,0,0,0,0,256,0,Praça Mauá,256
1,11,2017,2017-11-01,0,0,0,0,294,0,Praça Mauá,294
1,12,2017,2017-12-01,0,1,0,0,280,0,Praça Mauá,281
1,1,2018,2018-01-01,0,1,0,0,275,0,Praça Mauá,276
1,2,2018,2018-02-01,0,0,0,0,495,0,Praça Mauá,495
1,3,2018,2018-03-01,0,0,0,0,290,0,Praça Mauá,290
1,4,2018,2018-04-01,0,0,1,1,287,1,Praça Mauá,290
1,5,2018,2018-05-01,0,0,0,0,260,0,Praça Mauá,260
1,6,2018,2018-06-01,0,1,0,1,276,0,Praça Mauá,278
1,7,2018,2018-07-01,0,0,0,0,398,0,Praça Mauá,398
1,8,2018,2018-08-01,2,0,1,1,300,0,Praça Mauá,304
1,9,2018,2018-09-01,0,1,1,1,321,0,Praça Mauá,324
1,10,2018,2018-10-01,0,0,0,1,336,0,Praça Mauá,337
1,11,2018,2018-11-01,0,1,0,1,406,0,Praça Mauá,408
1,12,2018,2018-12-01,0,0,0,0,455,0,Praça Mauá,455
4,1,2003,2003-01-01,0,1,6,7,197,0,Praça da República,211
4,2,2003,2003-02-01,0,1,5,5,183,0,Praça da República,194
4,3,2003,2003-03-01,1,6,1,3,215,0,Praça da República,226
4,4,2003,2003-04-01,0,1,1,7,192,0,Praça da República,201
4,5,2003,2003-05-01,0,2,5,7,164,0,Praça da República,178
4,6,2003,2003-06-01,2,0,4,3,156,0,Praça da República,165
4,7,2003,2003-07-01,0,2,1,6,192,0,Praça da República,201
4,8,2003,2003-08-01,0,2,3,5,165,0,Praça da República,175
4,9,2003,2003-09-01,0,1,2,5,160,0,Praça da República,168
4,10,2003,2003-10-01,0,4,7,2,155,0,Praça da República,168
4,11,2003,2003-11-01,0,3,3,4,181,0,Praça da República,191
4,12,2003,2003-12-01,3,2,6,8,192,0,Praça da República,211
4,1,2004,2004-01-01,2,4,3,3,203,0,Praça da República,215
4,2,2004,2004-02-01,3,2,9,5,218,0,Praça da República,237
4,3,2004,2004-03-01,0,2,0,7,266,0,Praça da República,275
4,4,2004,2004-04-01,1,0,6,4,197,0,Praça da República,208
4,5,2004,2004-05-01,3,0,9,1,314,0,Praça da República,327
4,6,2004,2004-06-01,0,3,3,6,280,0,Praça da República,292
4,7,2004,2004-07-01,2,0,5,7,241,0,Praça da República,255
4,8,2004,2004-08-01,0,3,5,7,216,0,Praça da República,231
4,9,2004,2004-09-01,5,0,4,7,169,0,Praça da República,185
4,10,2004,2004-10-01,0,0,7,6,169,0,Praça da República,182
4,11,2004,2004-11-01,4,1,5,2,223,0,Praça da República,235
4,12,2004,2004-12-01,1,3,0,7,252,0,Praça da República,263
4,1,2005,2005-01-01,1,1,3,9,248,0,Praça da República,262
4,2,2005,2005-02-01,1,2,3,11,272,0,Praça da República,289
4,3,2005,2005-03-01,3,0,2,7,296,0,Praça da República,308
4,4,2005,2005-04-01,3,2,5,10,296,0,Praça da República,316
4,5,2005,2005-05-01,3,0,5,15,292,0,Praça da República,315
